State/Union Territory,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Andaman and Nicobar Islands,530,477,535,622,618,657,672,780,741,1193,861,989,1032,1074,1139,1189
Andhra Pradesh#,158040,164534,159411,175884,183446,193958,201277,212103,222974,227875,130958,141743,158274,177776,197545,219275
Arunachal Pradesh,90,73,73,394,361,380,407,53,439,400,417,427,495,550,595,605
Assam,5216,5359,5350,4910,4659,4671,4707,4705,4710,4717,4728,4740,4771,4952,5015,5149
Bihar,7894,10012,9454,10707,10740,11002,7446,7552,8372,9308,9845,10021,11117,12185,17633,27408
Chandigarh,280,280,291,9184,9738,249,180,181,170,173,169,167,154,160,164,125
Chhattisgarh,8795,8875,9216,282,273,10520,12454,12984,13704,14330,14732,15028,16638,17718,18927,20289
Dadra & Nagar Haveli,50,48,0,70,71,71,70,73,73,73,73,73,73,73,0,0
Daman & Diu,9,11,11,19,19,19,19,20,20,13,19,8,4,5,5,5
Delhi,264,196,186,1,1,1,1,1,-,-,-,0,0,0,0,0
Goa,146,146,135,152,149,148,149,149,458,60,75,352,292,299,327,400
Gujarat,5031,5775,7757,8256,12675,12762,13269,14269,14558,15551,16565,17216,17940,17868,18544,19274
Haryana,14816,15126,39596,41031,38150,38453,39644,41142,42343,43591,45790,49133,52139,55855,60577,66153
Himachal Pradesh,811,753,772,843,977,1000,1021,1050,1069,1075,1084,812,959,981,1007,1066
Jammu and Kashmir,6105,6320,6320,6682,7208,7242,7725,6520,6715,6649,4958,2309,2305,2334,2349,2216
Jharkhand,6980,6970,7110,7130,3995,3925,4153,4313,4239,4445,4663,4833,5103,5531,6379,6928
Karnataka,17719,18348,19498,20181,23688,29094,30674,34699,36773,41301,43968,47660,50671,55661,59994,66511
Kerala,11974,11956,11987,13831,15095,16330,16856,17049,22375,24769,25036,24425,23444,23481,22906,21845
Lakshadweep,120,124,127,128,135,138,138,140,140,129,126,144,147,142,142,153
Madhya Pradesh,9023,9414,9518,9747,6713,7075,7577,7972,8711,9671,11776,14414,16940,19422,21432,23794
Maharashtra,34362,35227,33950,34640,35502,38640,42245,43861,45661,48315,50792,52858,54774,56991,59649,63713
Manipur,822,835,836,845,1105,1119,1137,1149,1162,1164,1129,1037,992,1018,1053,1082
Meghalaya,946,973,978,990,995,999,1011,1021,1028,1049,1057,1064,1064,1074,1090,1102
Mizoram,317,326,348,403,411,371,387,349,352,362,377,391,408,410,415,433
Nagaland,755,868,868,802,832,834,802,704,618,223,353,465,397,401,375,382
Odisha,12160,12787,14246,15479,19940,23193,23571,23007,23230,23609,19245,19273,19745,20622,23453,23814
Puducherry,102,105,107,137,112,113,114,116,113,113,113,114,114,114,114,114
Punjab,36800,35200,37740,37914,36790,32828,35449,36030,37911,43376,42642,44218,47826,52250,55909,56388
Rajasthan,6932,7029,6631,6730,6449,6713,6697,9605,10335,11903,13202,13853,13633,14548,16616,26962
Sikkim,140,146,144,135,137,136,140,146,146,99,58,102,68,63,55,48
Tamil Nadu,63948,62225,80435,83937,88098,108476,115137,118518,119334,141235,159253,161252,166824,174161,188422,200216
Telangana,-,-,-,-,-,-,-,-,-,-,106185,112058,118186,126700,136868,148055
Tripura,1071,1100,1193,1320,1388,1442,1569,1650,1565,1794,1979,2161,2294,2621,2760,2950
Uttar Pradesh,9018,9228,9483,9814,10140,10596,10991,16075,17074,18122,20776,21929,22889,24398,26050,34049
Uttarakhand,1866,1673,1889,1911,1962,2536,2614,2712,3079,3370,3697,3907,4119,4298,4532,4786
West Bengal,28877,29637,30386,30542,33056,36978,39939,43433,47115,47460,48136,60108,65536,76434,85999,97350
ALL INDIA,452009,462307,506630,535653,555628,602671,630244,664499,697307,747519,784839,829284,881370,952170,1038040,1143831
