StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
DELHI,EAST DELHI (Preet Vihar),DELHI,NA,AGRICULTURE,Others,Others,Government Schemes,"ASKED ABOUT TO SUBSIDY ON SHEDNET HOUSE ?
","निर्धारित इकाई लागत या विभाग द्वारा अनुमोदित फर्मस की दरों में से जो भी कम होने पर अधिकतम 4000 वर्गमीटर क्षेत्र के लिए सामान्य श्रेणी के कृषकों को 50 प्रतिशत अनुदान तथा लघु, सीमान्त, अनुसूचित जाति व अनुसूचित जनजाति कृषकों को 70 प्रतिशत अनुदान देय है। इसके अतिरिक्त माननीय मुख्यमंत्री बजट घोषणा की अनुपालना में अधिसूचित जनजाति क्षेत्र के कृषकों के साथ-साथ प्रदेश के समस्त  लघु, सीमान्त श्रेणी के कृषकों को 25 प्रतिशत अतिरिक्त अनुदान देय है।",2024-01-15T14:47:12.33,2024,1
DELHI,New Delhi (Connaught Place),DELHI,NA,HORTICULTURE,Flowers,Gladiolus,	Plant Protection	,"FARMER ASKED ABOUT TO ABOUT INSECT CONTROL IN GLADIOLUS ?
","डाईमिथोएट 30 ईसी 2 एम एल प्रति लीटर पानी की दर से छिड़काव करें।
",2024-01-01T15:06:27.68,2024,1
DELHI,New Delhi (Connaught Place),DELHI,NA,AGRICULTURE,Cereals,Wheat,Nutrient Management,"FARMER ASKED  NUTRIENT MANAGEMENT IN WHEAT ?
","सूक्ष्म पोषक तत्व 4 ग्राम प्रति लिटर पानी में घोल कर छिड़काव करें।
",2024-01-01T19:05:04.043,2024,1
DELHI,New Delhi (Connaught Place),DELHI,NA,AGRICULTURE,Others,Others,Government Schemes,FOR CALLING KISAAN CALL CENTER,THANX FOR CALLING KISAAN CALL CENTER,2024-01-04T15:55:47.023,2024,1
DELHI,New Delhi (Connaught Place),DELHI,NA,AGRICULTURE,Others,Others,Government Schemes,ASKED ME ABOUT PM KISAN SAMMAN NIDHI STATUS ?,"
कृपया प्रधानमंत्री किसान सम्मान निधि योजना में अपने पंजीकरण नंबर के साथ दोबारा कॉल करें। धन्यवाद।",2024-01-07T17:45:04.16,2024,1
DELHI,New Delhi (Connaught Place),DELHI,NA,AGRICULTURE,Others,Others,Government Schemes,ASKED ME ABOUT TO PM KISAN SAMMAN NIDHI STATUS ?," 

प्रधानमंत्री किसान सम्मान निधि योजना की अधिक जानकारी के लिए अपने क्षेत्र के नोडल अधिकारी से संपर्क करें। धन्यवाद

",2024-01-07T17:45:43.197,2024,1
DELHI,New Delhi (Connaught Place),DELHI,NA,AGRICULTURE,Others,Others,Government Schemes,ASKED ME ABOUT TO PM KISAN SAMMAN NIDHI STATUS ?," 

प्रधानमंत्री किसान सम्मान निधि योजना की अधिक जानकारी के लिए अपने क्षेत्र के नोडल अधिकारी से संपर्क करें। धन्यवाद

",2024-01-07T17:45:43.45,2024,1
DELHI,New Delhi (Connaught Place),DELHI,NA,AGRICULTURE,Oilseeds,Mustard,	Water Management	,Information related to irrigation in mustard crop,"सरसों की फसल में पहली सिंचाई फूल आने के समय तथा दूसरी सिंचाई फलियाँ में दाने भरने की अवस्था में करना चाहिए,",2024-01-10T09:11:15.133,2024,1
DELHI,New Delhi (Connaught Place),DELHI,NA,AGRICULTURE,Others,Others,Credit,ASKED ABOUT TO SOLUTION INFORMATION ?,कवकनाशी दवा के साथ में एनपीके दवा का घोल बनाकर छिड़काव कर सकते हैं।,2024-01-10T13:50:12.577,2024,1
DELHI,New Delhi (Connaught Place),DELHI,NA,AGRICULTURE,Others,Others,Government Schemes,COMMING CALL ,आपकी बात किसान कॉल सेंटर से हो रही है खेती-बाड़ी संबंधी जानकारी प्राप्त कर सकते हो,2024-01-12T17:06:10.083,2024,1
DELHI,New Delhi (Connaught Place),DELHI,NA,AGRICULTURE,Others,Others,Government Schemes,"FOR CALLING KISAAN CALL CENTER
","किसान कॉल सेंटर में कॉल करने के लिए धन्यवाद 
",2024-01-15T15:38:28.72,2024,1
DELHI,New Delhi (Connaught Place),DELHI,NA,AGRICULTURE,Others,Others,Weather,Farmer asked query on Weather,मौसम विभाग के पूर्वानुमान अनुसार अगले तीन-चार दिन में बरसात की संभावना नहीं है लेकिन आंशिक रूप से बादल बने रहेंगे,2024-01-16T14:55:32.873,2024,1
DELHI,New Delhi (Connaught Place),DELHI,NA,HORTICULTURE,Fruits,Lemon,	Plant Protection	,"ASKED ABOUT CONTROL OF DIEBACK  DISEASE IN LEMON  ? 
","--कॉपर ऑक्सीक्लोराइड 50%डब्लू.पी.(ब्लइटटॉक्स/ ब्लू कॉपर) दवा का 3 ग्राम प्रति लिटर पानी में घोल कर छिड़काव करें।
",2024-01-19T13:08:06.96,2024,1
DELHI,New Delhi (Connaught Place),DELHI,NA,AGRICULTURE,Cereals,Wheat,Nutrient Management,FARMER ASKED ABOUT THE NUTRIENT MANAGEMENT IN WHEAT ?,"NPK 19:19:19 ग्रेड का 10 ग्राम प्रति लिटर पानी में घोल कर छिड़काव करें।
मल्टीप्लेक्स (सूक्ष्म पोषक तत्व) 4 GRAM प्रति लिटर पानी में घोल कर छिड़काव करें।
",2024-01-19T13:18:37.703,2024,1
DELHI,New Delhi (Connaught Place),DELHI,NA,AGRICULTURE,Others,Others,Government Schemes,TELL ME HOW TO FILED EKYC IN PM KISAN SCHEME  ?,"प्रधानमंत्री किसान सम्मान निधि योजना में eKYC  के लिए आप स्वयं भी  eKYC कर सकते हैं लैपटॉप या मोबाइल से इसके अलावा आप अपने नजदीकी सीएससी  (CSC ) सेंटर   पर जाकर बायोमेट्रिक eKYC भी करवा सकते हैं https://pmkisan.gov.in/aadharekyc.aspx
",2024-01-19T14:48:47.36,2024,1
DELHI,New Delhi (Connaught Place),DELHI,NA,AGRICULTURE,Others,Others,Government Schemes,FOR CALLING KISAAN CALL CENTER,"THANX FOR CALLING KISAAN CALL CENTER
",2024-01-19T19:04:01.333,2024,1
