StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,Y S R ,MYLAVARAM,NA,HORTICULTURE,Vegetables,Chillies,Nutrient Management,FARMER ASKED QUERY ABOUT NUTRIENT MANAGEMENT IN CHILLI?,"RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 5 GRAMS/1 LITER OF WATER (1KG/ACRE/200 LITERS OF WATER)పొటాషియం  నైట్రేట్  13-0-45  5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి (కేజీ/ఎకరానికి)  +RECOMMENDED TO SPRAY BORAX  3 GRAMS /1 LITER OF WATER(600 GRAMS/200 LITRES OF WATER /ACRE)        బోరాక్స్ 3 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి (600 గ్రాములు /ఎకరానికి)
or
RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 5 GRAMS/1 LITER OF WATER (1KG/ACRE/200 LITERS OF WATER)పొటాషియం  నైట్రేట్  13-0-45  5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి (కేజీ/ఎకరానికి)  + RECOMMENDED TO SPRAY AGROMINIMAX 600 GRAMS / 200 LITER OF WATER/ ACRE ( 3 GRAMS/ 1LITER OF WATER)
అగ్రోమింమాక్స్ ఎకరానికి 600 గ్రాములు 200 లీటర్ల నీటికి కలిపి పిచికారీ చేయాలి  (3 గ్రాములు లీటరు నీటికి)
",2025-02-01T07:11:12.12,2025,2
ANDHRA PRADESH,Y S R ,DUVVUR,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME NEW REGISTRATION,"AS PER GUIDELINES , FARMERS WHO REGISTERED THEIR LAND BEFORE 2019 ARE NOT ELIGIBLE FOR PM KISAN SAMMAN NIDHI SCHEME
",2025-02-01T12:01:03.377,2025,2
ANDHRA PRADESH,Y S R ,KAMALAPURAM,NA,AGRICULTURE,Pulses,Green Gram (Moong Bean/ Moong),Varieties,FARMER ASKED QUERY ABOUT VARIETIES OF GREEN GRAM ,"RECOMMENDED VARIETIES OF GREEN GRAM ARE  LGG-407, LGG-460 , LGG -450 
RECOMMENDED TO CONTACT LAMFARM GUNTUR --9989623806 FOR FURTHER DETAILS.",2025-02-01T14:24:22.813,2025,2
ANDHRA PRADESH,Y S R ,KAMALAPURAM,NA,AGRICULTURE,Pulses,Green Gram (Moong Bean/ Moong),Sowing Time and Weather,FARMER ASKED QUERY ABOUT SOWING TIME  OF GREEN GRAM ,RECOMMENDED TO SOW GREEN GRAM IN FEBRUARY -MARCH.,2025-02-01T14:25:12.747,2025,2
ANDHRA PRADESH,Y S R ,PENDLIMARRI,NA,HORTICULTURE,Vegetables,Tomato,	Plant Protection	,"FARMER ASKED QUERY ABOUT WILT MANAGEMENT IN TOMATO
","RECOMMENDED TO SPRAY  PROPINEB 70%WP (ANTRACOL, Syngenta Acoreli ) 600 GRAMS /200 LITRES OF WATER /ACRE  
 OR
 RECOMMENDED TO SPRAY Fluxapyroxad  + Pyraclostrobin (MERIVON) -80-100 ML/ACRE /200 LIT OF WATER

",2025-02-02T10:26:23.48,2025,2
ANDHRA PRADESH,Y S R ,VALLUR,NA,AGRICULTURE,Pulses,Black Gram (urd bean),Nutrient Management,black gram nutrient management ?  ,"NPK 19-19-19  5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి 
",2025-02-03T09:33:23.19,2025,2
ANDHRA PRADESH,Y S R ,RAMAPURAM,NA,AGRICULTURE,Pulses,Horse Gram (kulthi/kultha),Market Information,FARMER ASKED QUERY ON HORSE GRAM MARKETING INFORMATION,"దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
",2025-02-03T15:40:34.753,2025,2
ANDHRA PRADESH,Y S R ,VEERAPANAYANI PALLE,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),	Plant Protection	,Farmer asked query about leaf spot management in ground nut ?,"కార్బెండజిమ్ + మాంకోజెబ్ (సాఫ్)  400 గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి
",2025-02-04T09:53:16.837,2025,2
ANDHRA PRADESH,Y S R ,PRODDATUR,NA,AGRICULTURE,Cereals,Paddy (Dhan),	Plant Protection	,farmer asked query on stem borer management in paddy?,-RECOMMENDED TO SPRAY CHLORANTRANILIPROLE (CORAGIN) 60 ML/150 LITRES OF WATER / ACRE    క్లోరాంత్రనిలిప్రోల్  60 మిల్లి లీటర్లు   /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి.,2025-02-04T18:54:57.533,2025,2
ANDHRA PRADESH,Y S R ,PENDLIMARRI,NA,AGRICULTURE,Oilseeds,Sesame (Gingelly/Til)/Sesamum,	Plant Protection	,leaf spot management in sesamum,"RECOMMENDED TO SPRAY ( CARBENDAZIM +MANCOZEB ) (SAAF) 400GM / 200 LIT OF WATER /ACRE
( కార్బెండజిం + మాంకోజెబ్ ) 400 గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి.
",2025-02-06T09:17:44.11,2025,2
